Team1_Won,BowlersUsed_Margin_Overall,DotBalls_Margin_Overall,ExtrasConceded_Margin_Overall,Runs_Margin_Powerplay,Runs_Margin_MiddleOvers,Runs_Margin_DeathOvers,Fours_Margin_Powerplay,Fours_Margin_MiddleOvers,Fours_Margin_DeathOvers,Sixes_Margin_Powerplay,Sixes_Margin_MiddleOvers,Sixes_Margin_DeathOvers,WicketsTaken_Margin_Powerplay,WicketsTaken_Margin_MiddleOvers,WicketsTaken_Margin_DeathOvers
0,0,4.0,-10.0,-4.0,-19.0,2.0,-2.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,2.0
1,-6,46.0,-6.0,25.0,37.0,57.0,3.0,1.0,3.0,0.0,0.0,4.0,-1.0,-4.0,-1.0
1,1,-1.0,6.0,3.0,1.0,6.0,3.0,0.0,-2.0,-1.0,1.0,1.0,-1.0,1.0,0.0
0,-1,15.0,-5.0,8.0,-32.0,18.0,-2.0,-3.0,0.0,2.0,-3.0,1.0,-1.0,-5.0,-3.0
0,1,10.0,-3.0,-24.0,-7.0,22.0,-4.0,5.0,6.0,-2.0,-4.0,0.0,-2.0,1.0,-1.0
0,1,-2.0,1.0,-21.0,-17.0,24.0,0.0,-4.0,4.0,-4.0,-3.0,0.0,0.0,0.0,0.0
1,-2,-20.0,2.0,1.0,35.0,13.0,-4.0,0.0,3.0,2.0,5.0,-1.0,0.0,1.0,4.0
0,0,4.0,-6.0,3.0,-2.0,-8.0,2.0,0.0,1.0,1.0,1.0,-3.0,-1.0,2.0,3.0
0,0,14.0,-9.0,9.0,-16.0,-18.0,5.0,-4.0,0.0,-1.0,2.0,-3.0,-1.0,0.0,-2.0
1,-1,4.0,10.0,-5.0,6.0,2.0,3.0,-4.0,5.0,-3.0,2.0,-4.0,0.0,-2.0,0.0
1,0,-15.0,-4.0,-4.0,24.0,11.0,2.0,1.0,-2.0,-3.0,2.0,2.0,2.0,-2.0,1.0
0,1,18.0,2.0,-30.0,-9.0,32.0,-6.0,-1.0,0.0,-1.0,-3.0,2.0,-1.0,-2.0,-3.0
1,1,-5.0,4.0,11.0,13.0,8.0,-2.0,4.0,4.0,3.0,0.0,-2.0,3.0,2.0,-2.0
0,-1,8.0,1.0,33.0,-7.0,-31.0,8.0,-3.0,-1.0,0.0,1.0,-4.0,0.0,-3.0,0.0
1,0,-1.0,-9.0,-23.0,21.0,20.0,-4.0,-3.0,4.0,1.0,3.0,1.0,-2.0,5.0,-1.0
1,0,-9.0,-2.0,10.0,38.0,44.0,-1.0,5.0,3.0,0.0,-1.0,2.0,4.0,5.0,-4.0
0,0,-1.0,6.0,13.0,-26.0,9.0,2.0,-5.0,-4.0,0.0,-2.0,3.0,2.0,-4.0,1.0
1,-1,-13.0,-4.0,13.0,22.0,1.0,5.0,6.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-2.0
1,0,-4.0,5.0,-14.0,0.0,17.0,-2.0,-6.0,0.0,-1.0,2.0,2.0,-2.0,1.0,3.0
1,0,-14.0,5.0,17.0,6.0,-8.0,0.0,5.0,-1.0,2.0,-1.0,-3.0,1.0,0.0,4.0
0,1,-1.0,1.0,-26.0,8.0,18.0,-5.0,2.0,-2.0,0.0,-1.0,3.0,-2.0,-1.0,1.0
0,0,-3.0,3.0,-2.0,-17.0,12.0,-1.0,-3.0,1.0,1.0,-2.0,1.0,-1.0,-1.0,3.0
1,-1,-19.0,1.0,22.0,8.0,35.0,3.0,-1.0,2.0,1.0,2.0,5.0,3.0,2.0,-1.0
1,-2,4.0,-3.0,-20.0,18.0,5.0,-6.0,3.0,-1.0,0.0,3.0,1.0,-1.0,0.0,0.0
0,1,1.0,-6.0,-4.0,-12.0,-4.0,2.0,0.0,-4.0,-2.0,-3.0,1.0,1.0,0.0,-4.0
1,1,-13.0,12.0,22.0,-18.0,-2.0,4.0,1.0,2.0,0.0,-4.0,-3.0,1.0,-4.0,2.0
1,0,-14.0,10.0,0.0,17.0,3.0,-1.0,3.0,-1.0,0.0,-1.0,-1.0,1.0,2.0,0.0
1,0,-4.0,-6.0,8.0,25.0,28.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0
1,0,-14.0,-3.0,-26.0,25.0,43.0,-4.0,-3.0,6.0,-3.0,6.0,2.0,2.0,1.0,4.0
1,1,8.0,1.0,-6.0,-18.0,56.0,-1.0,5.0,5.0,-1.0,-6.0,4.0,0.0,3.0,0.0
0,2,3.0,3.0,-9.0,-22.0,26.0,2.0,1.0,0.0,-2.0,-5.0,4.0,-1.0,0.0,0.0
0,0,16.0,-2.0,-7.0,9.0,-26.0,-5.0,1.0,-3.0,4.0,2.0,-2.0,1.0,-2.0,-1.0
1,0,-2.0,-1.0,-16.0,22.0,-3.0,-5.0,1.0,3.0,0.0,3.0,-3.0,-3.0,1.0,1.0
1,0,-8.0,6.0,20.0,-14.0,10.0,1.0,-3.0,-2.0,1.0,-1.0,2.0,1.0,1.0,0.0
1,-1,-8.0,-9.0,-2.0,-12.0,16.0,0.0,-2.0,3.0,-1.0,-1.0,0.0,1.0,-1.0,2.0
0,0,-2.0,10.0,-10.0,18.0,-8.0,-3.0,2.0,-3.0,0.0,1.0,0.0,1.0,-1.0,0.0
1,0,-16.0,5.0,22.0,10.0,36.0,3.0,-1.0,0.0,2.0,3.0,4.0,2.0,-1.0,3.0
1,0,-10.0,-8.0,-7.0,16.0,10.0,4.0,2.0,3.0,-5.0,2.0,0.0,1.0,-1.0,2.0
0,1,2.0,-2.0,-19.0,0.0,8.0,-3.0,-4.0,4.0,-2.0,2.0,1.0,1.0,-1.0,0.0
0,0,11.0,11.0,-13.0,-3.0,7.0,0.0,-1.0,1.0,-3.0,0.0,-1.0,-1.0,1.0,-2.0
1,0,-8.0,-3.0,-1.0,5.0,24.0,0.0,0.0,0.0,0.0,-1.0,3.0,-1.0,-1.0,0.0
0,0,14.0,0.0,-7.0,6.0,-2.0,4.0,-3.0,-2.0,-3.0,4.0,0.0,0.0,-2.0,0.0
1,2,-2.0,2.0,22.0,4.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,-2.0
0,0,20.0,7.0,-6.0,12.0,-10.0,-6.0,0.0,0.0,2.0,1.0,-3.0,-2.0,-1.0,-2.0
1,1,-3.0,1.0,3.0,22.0,-8.0,-1.0,-1.0,1.0,2.0,4.0,-2.0,1.0,1.0,2.0
1,-1,-14.0,-6.0,27.0,1.0,64.0,5.0,2.0,1.0,1.0,-2.0,8.0,3.0,0.0,2.0
0,0,-8.0,4.0,-11.0,5.0,1.0,-1.0,5.0,-1.0,0.0,-2.0,-1.0,0.0,2.0,0.0
0,0,2.0,8.0,-60.0,40.0,12.0,-4.0,2.0,4.0,-8.0,8.0,-4.0,0.0,0.0,0.0
0,0,0.0,-16.0,8.0,-62.0,10.0,0.0,-14.0,-2.0,2.0,-2.0,4.0,2.0,-2.0,2.0
0,0,-2.0,-22.0,42.0,-66.0,4.0,6.0,-4.0,-2.0,2.0,-4.0,0.0,2.0,-6.0,4.0
1,0,-28.0,14.0,-4.0,22.0,46.0,2.0,4.0,0.0,2.0,-4.0,4.0,-4.0,8.0,6.0
0,0,36.0,-16.0,12.0,-48.0,10.0,-2.0,-8.0,6.0,6.0,0.0,-6.0,0.0,-6.0,-2.0
1,1,6.0,0.0,36.0,-14.0,6.0,6.0,0.0,-4.0,2.0,-2.0,4.0,0.0,0.0,-4.0
1,1,12.0,8.0,22.0,-6.0,-14.0,12.0,-8.0,-6.0,-4.0,6.0,2.0,-2.0,6.0,2.0
0,-1,32.0,-14.0,-36.0,-88.0,68.0,0.0,-14.0,6.0,-6.0,-10.0,4.0,-4.0,2.0,-8.0
0,1,-4.0,-4.0,-2.0,-64.0,36.0,0.0,-6.0,6.0,-2.0,-10.0,0.0,-2.0,-8.0,4.0
0,1,0.0,-10.0,-12.0,-22.0,30.0,-4.0,0.0,-4.0,0.0,-2.0,8.0,-2.0,-2.0,4.0
1,0,10.0,28.0,-6.0,-30.0,52.0,-2.0,-18.0,0.0,-2.0,4.0,4.0,0.0,-4.0,-2.0
1,-2,-2.0,-2.0,-34.0,28.0,16.0,-4.0,-2.0,8.0,-2.0,6.0,-4.0,-2.0,4.0,4.0
1,1,-10.0,-2.0,-30.0,36.0,40.0,-10.0,-2.0,8.0,0.0,6.0,2.0,0.0,6.0,2.0
0,-2,76.0,-8.0,-72.0,30.0,28.0,-4.0,2.0,0.0,-10.0,-2.0,2.0,-2.0,-4.0,-6.0
0,1,0.0,-10.0,-26.0,44.0,-30.0,-2.0,12.0,2.0,-2.0,4.0,-8.0,2.0,4.0,0.0
1,0,-26.0,20.0,24.0,-26.0,38.0,0.0,0.0,6.0,2.0,-8.0,2.0,6.0,4.0,0.0
0,0,6.0,18.0,2.0,-38.0,8.0,2.0,-4.0,-10.0,-2.0,-4.0,8.0,-4.0,-6.0,2.0
1,1,-26.0,6.0,48.0,26.0,34.0,-6.0,0.0,-6.0,12.0,4.0,8.0,4.0,-2.0,6.0
0,1,-16.0,-22.0,18.0,-62.0,32.0,8.0,6.0,4.0,0.0,-18.0,4.0,2.0,0.0,2.0
0,-1,26.0,-2.0,14.0,-8.0,-14.0,0.0,0.0,-6.0,4.0,2.0,0.0,2.0,-8.0,4.0
0,2,8.0,-8.0,-36.0,-2.0,16.0,-6.0,2.0,-2.0,-2.0,-4.0,4.0,-6.0,0.0,-4.0
1,1,2.0,10.0,32.0,-32.0,10.0,6.0,2.0,-4.0,-2.0,-4.0,6.0,2.0,-2.0,2.0
0,-1,14.0,6.0,-34.0,-8.0,24.0,-8.0,2.0,-2.0,0.0,2.0,4.0,-2.0,4.0,6.0
