Team1_Won,BowlersUsed_Margin_Overall,DotBalls_Margin_Overall,ExtrasConceded_Margin_Overall,Fours_Margin_Overall,Sixes_Margin_Overall,WicketsTaken_Margin_Overall,Runs_Margin_Powerplay,Runs_Margin_DeathOvers
1,0,20.0,7.0,-5.0,0.0,-5.0,-6.0,-10.0
1,1,-3.0,1.0,-1.0,6.0,5.0,3.0,-8.0
1,-1,-14.0,-6.0,9.0,7.0,3.0,27.0,64.0
1,0,-8.0,4.0,4.0,-3.0,3.0,-11.0,1.0
1,0,2.0,8.0,4.0,-4.0,-2.0,-60.0,12.0
0,0,0.0,-16.0,-10.0,2.0,2.0,8.0,10.0
1,0,-2.0,-22.0,4.0,6.0,6.0,42.0,4.0
1,0,-28.0,14.0,6.0,4.0,10.0,-4.0,46.0
0,0,36.0,-16.0,-4.0,0.0,-12.0,12.0,10.0
1,1,6.0,0.0,2.0,0.0,-6.0,36.0,6.0
1,1,12.0,8.0,-8.0,8.0,8.0,22.0,-14.0
0,-1,32.0,-14.0,-6.0,-8.0,-10.0,-36.0,68.0
0,1,-4.0,-4.0,4.0,-12.0,-6.0,-2.0,36.0
0,1,0.0,-10.0,-6.0,2.0,-2.0,-12.0,30.0
1,0,10.0,28.0,-18.0,6.0,-10.0,-6.0,52.0
1,-2,-2.0,-2.0,0.0,6.0,4.0,-34.0,16.0
1,1,-10.0,-2.0,-10.0,12.0,8.0,-30.0,40.0
0,-2,76.0,-8.0,-2.0,-10.0,-12.0,-72.0,28.0
0,1,0.0,-10.0,12.0,-6.0,4.0,-26.0,-30.0
1,0,-26.0,20.0,8.0,-4.0,6.0,24.0,38.0
1,0,6.0,18.0,-8.0,4.0,-8.0,2.0,8.0
1,1,-26.0,6.0,-8.0,26.0,6.0,48.0,34.0
0,1,-16.0,-22.0,24.0,-20.0,8.0,18.0,32.0
0,-1,26.0,-2.0,-8.0,6.0,-6.0,14.0,-14.0
0,2,8.0,-8.0,-6.0,-2.0,-16.0,-36.0,16.0
1,1,2.0,10.0,0.0,0.0,0.0,32.0,10.0
1,-1,14.0,6.0,-10.0,12.0,8.0,-34.0,24.0
1,0,-42.0,6.0,16.0,-2.0,2.0,-4.0,36.0
0,1,16.0,-14.0,14.0,-12.0,-8.0,2.0,10.0
1,0,0.0,18.0,2.0,4.0,10.0,82.0,-42.0
0,2,4.0,-28.0,6.0,-14.0,-4.0,-24.0,-60.0
0,0,18.0,2.0,2.0,-12.0,-4.0,-22.0,-12.0
1,0,-20.0,-12.0,22.0,8.0,14.0,-4.0,66.0
0,-1,40.0,-18.0,2.0,-4.0,-12.0,-8.0,12.0
1,0,12.0,6.0,-6.0,2.0,-2.0,-36.0,26.0
0,1,4.0,-16.0,-4.0,-2.0,-8.0,-4.0,54.0
1,2,4.0,10.0,-12.0,14.0,8.0,-28.0,38.0
1,-1,-2.0,6.0,2.0,6.0,0.0,22.0,20.0
0,-1,54.0,-10.0,-2.0,-6.0,-8.0,-124.0,106.0
1,0,-36.0,6.0,4.0,0.0,0.0,22.0,-20.0
1,-1,-6.0,-12.0,24.0,12.0,8.0,44.0,80.0
1,1,-16.0,16.0,-24.0,-2.0,-10.0,54.0,-2.0
1,0,-38.0,28.0,10.0,-2.0,0.0,28.0,32.0
0,-1,46.0,-2.0,0.0,-20.0,-8.0,-124.0,110.0
1,1,-4.0,-4.0,-8.0,18.0,6.0,-32.0,110.0
1,0,-40.0,2.0,-2.0,2.0,10.0,24.0,-12.0
1,1,-16.0,12.0,0.0,6.0,2.0,-18.0,-2.0
0,1,16.0,2.0,-8.0,2.0,0.0,-12.0,4.0
1,1,-22.0,-8.0,-4.0,12.0,2.0,12.0,58.0
1,1,-16.0,-4.0,4.0,0.0,10.0,12.0,14.0
0,-1,16.0,-2.0,10.0,-8.0,-8.0,-6.0,-36.0
1,-2,-16.0,0.0,-2.0,6.0,0.0,-12.0,12.0
1,1,8.0,14.0,-4.0,16.0,4.0,4.0,22.0
1,1,4.0,14.0,2.0,-4.0,2.0,-36.0,16.0
0,0,26.0,8.0,-10.0,-8.0,-16.0,-24.0,66.0
0,1,8.0,4.0,-14.0,6.0,-4.0,-18.0,-26.0
1,2,-30.0,-6.0,-4.0,8.0,-4.0,54.0,8.0
0,0,64.0,-4.0,-4.0,-6.0,-16.0,-58.0,38.0
1,0,-7.0,-2.0,2.0,-1.0,2.0,-31.0,9.0
0,0,15.0,-2.0,2.0,-1.0,-3.0,-27.0,-5.0
